Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current_Date_Time
Document/Data Analyst,Boulder,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Integrated-Resources-INC/Job/Document-Data-Analyst/-in-Boulder,CO?jid=09372b8099ec323f",Integrated Resources INC,2016-08-09T07:00:00Z,,09372b8099ec323f,2024-02-01T12:36:43Z
Data Analyst,Salem,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Stem-Xpert/Job/Data-Analyst/-in-Salem,OR?jid=69b7e02b86badaa3",Stem Xpert,2014-11-21T08:00:00Z,,69b7e02b86badaa3,2024-02-01T12:36:43Z
Business Intelligence Analyst,San Francisco,$75 / hr,Contractor,"https://www.ziprecruiter.com/c/Estrada-Consulting-Incorporated/Job/Business-Intelligence-Analyst/-in-San-Francisco,CA?jid=0008e628e95ca8b5",Estrada Consulting Incorporated,2024-01-22T21:58:38Z,,0008e628e95ca8b5,2024-02-01T12:36:43Z
Sr. Business Analyst - Pharmacovigilance,Florham Park,$97K - $125K / yr,Contractor,"https://www.ziprecruiter.com/c/Atlas/Job/Sr.-Business-Analyst-Pharmacovigilance/-in-Florham-Park,NJ?jid=4a7c301e20322086",Atlas,2024-01-19T08:00:00Z,,4a7c301e20322086,2024-02-01T12:36:43Z
"Analyst, Data and Analysis Intern",San Francisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Publicis-Groupe/Job/Analyst,-Data-and-Analysis-Intern/-in-San-Francisco,CA?jid=61c7e92514107beb",Publicis Groupe,2024-01-26T00:00:00Z,,61c7e92514107beb,2024-02-01T12:36:43Z
Data Analyst with Power BI Report,Redmond,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Scout-ET/Job/Data-Analyst-with-Power-BI-Report/-in-Redmond,WA?jid=7a97b3a610570e4f",Scout ET,2016-09-08T07:00:00Z,,7a97b3a610570e4f,2024-02-01T12:36:43Z
"Compliance Reporting Data Analyst - Smartsheets, Tableau",Beaverton,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Genoa-Employment-Solutions-Inc/Job/Compliance-Reporting-Data-Analyst-Smartsheets,-Tableau/-in-Beaverton,OR?jid=f71ec2dacc999989",Genoa Employment Solutions Inc,2022-11-29T09:58:53Z,,f71ec2dacc999989,2024-02-01T12:36:43Z
"Urgent need - Data Analyst - Seattle, WA",Seattle,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Deegit-Inc/Job/Urgent-need-Data-Analyst-Seattle,-WA/-in-Seattle,WA?jid=3eaf4a58da5cdc0c",Deegit Inc,2015-08-20T00:00:00Z,,3eaf4a58da5cdc0c,2024-02-01T12:36:43Z
Data Analyst with Power BI,Redmond,$0 / ,Contractor,"https://www.ziprecruiter.com/c/EA-Team-Inc./Job/Data-Analyst-with-Power-BI/-in-Redmond,WA?jid=f6d66dea23b7b736",EA Team Inc.,2019-02-27T08:00:00Z,,f6d66dea23b7b736,2024-02-01T12:36:43Z
Data Analyst II,Cupertino,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Artech/Job/Data-Analyst-II/-in-Cupertino,CA?jid=3846a6651bb0f121",Artech,2024-01-04T08:00:00Z,,3846a6651bb0f121,2024-02-01T12:36:43Z
Marketing Business Analyst (Project Manager),Bellevue,$76.58 - $79.22 / hr,Contractor,"https://www.ziprecruiter.com/c/Intelliswift-Software-Inc/Job/Marketing-Business-Analyst-(Project-Manager)/-in-Bellevue,WA?jid=3b1860319896897c",Intelliswift Software Inc,2024-01-18T04:23:48Z,,3b1860319896897c,2024-02-01T12:36:43Z
Data Analyst,Santa Monica,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Prosum/Job/Data-Analyst/-in-Santa-Monica,CA?jid=dc1ceb8099707296",Prosum,2016-12-21T08:00:00Z,,dc1ceb8099707296,2024-02-01T12:36:43Z
"Junior Data Analyst / Denver, CO ( Hybrid), 8+ Months Contract",Denver,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Suncap-Technology/Job/Junior-Data-Analyst-Denver,-CO-(-Hybrid),-8+-Months-Contract/-in-Denver,CO?jid=2b01bf91e70580c4",Suncap Technology,2022-12-14T08:00:00Z,,2b01bf91e70580c4,2024-02-01T12:36:43Z
